date,title,media_type,url
2020-04-12,The Horsehead Nebula in Infrared from Hubble,image,https://apod.nasa.gov/apod/image/2004/horseheadir_hubble_960.jpg
2020-04-13,A Sailing Stone across Death Valley,image,https://apod.nasa.gov/apod/image/2004/SailingStone_Burke_960.jpg
2020-04-14,NGC 253: The Silver Coin Galaxy,image,https://apod.nasa.gov/apod/image/2004/NGC253_HstSubaruEsoNew_960.jpg
2020-04-15,A Cosmic Triangle,image,https://apod.nasa.gov/apod/image/2004/MVP_Aspinall_960.jpg
2020-04-16,Comet ATLAS Breaks Up,image,https://apod.nasa.gov/apod/image/2004/C2019Y4_20.04.13_1100px.jpg
2020-04-17,The Windmill and the Star Trails,image,https://apod.nasa.gov/apod/image/2004/WindmillStarTrails1024.jpg
2020-04-18,Just Another Day on Aerosol Earth,image,https://apod.nasa.gov/apod/image/2004/atmosphere_geo5_2018235_eq1200.jpg
2020-04-19,Cassini Approaches Saturn,video,https://player.vimeo.com/video/11386048#t=0m58s?color=8BA0FF&portrait=0
2020-04-20,IC 2944: The Running Chicken Nebula,image,https://apod.nasa.gov/apod/image/2004/IC2944_Filas_960.jpg
2020-04-21,Eye on the Milky Way,image,https://apod.nasa.gov/apod/image/2004/EyeOnMW_Claro_960.jpg
2020-04-22,Planet Earth at Twilight,image,https://apod.nasa.gov/apod/image/2004/ISS002-E-7377_1024c.jpg
2020-04-23,Lyrid Meteor Streak,image,https://apod.nasa.gov/apod/image/2004/ZGL-200422-0497_1024.jpg
2020-04-24,Around the World at Night,video,https://www.youtube.com/embed/aQ-cG_6WhDM?rel=0
2020-04-25,Hubble's Cosmic Reef,image,https://apod.nasa.gov/apod/image/2004/STSCI-H-p2016a-z-1000x687.jpg
2020-04-26,Edwin Hubble Discovers the Universe,image,https://apod.nasa.gov/apod/image/2004/HubbleVarOrig_Carnegie_960.jpg
2020-04-27,Fresh Tiger Stripes on Saturn's Enceladus,image,https://apod.nasa.gov/apod/image/2004/enceladusstripes_cassini_960.jpg
2020-04-28,The Kepler-90 Planetary System,image,https://apod.nasa.gov/apod/image/2004/Kepler90Illustration_Kepler_1080.jpg
2020-04-29,The Ion Tail of New Comet SWAN,image,https://apod.nasa.gov/apod/image/2004/CometSwan_Rhemann_960.jpg
2020-04-30,Andromeda Island Universe,image,https://apod.nasa.gov/apod/image/2004/M31Dec2019final1YuzheB2_1024.jpg
2020-05-01,A View Toward M106,image,https://apod.nasa.gov/apod/image/2005/M106_ORG4_APOD1024c.jpg
2020-05-02,"Radio, The Big Ear, and the Wow! Signal",image,https://apod.nasa.gov/apod/image/2005/bigear_rickscott_big.jpg
2020-05-03,A Message from Earth,image,https://apod.nasa.gov/apod/image/2005/Message_Arecibo_960.jpg
2020-05-04,Earth Flyby of BepiColombo,video,https://www.youtube.com/embed/zWFuCO7jyBk?rel=0
2020-05-05,Carina in Perspective,image,https://apod.nasa.gov/apod/image/2005/CarinaPerspective_Fairbairn_960.jpg
2020-05-06,LDN 1471: A Windblown Star Cavity,image,https://apod.nasa.gov/apod/image/2005/LDN1471_HubbleSchmidt_960.jpg
2020-05-07,Analemma of the Moon,image,https://apod.nasa.gov/apod/image/2005/APOD_Soponyai_Analemma_Moon.jpg
2020-05-08,Long Tailed Comet SWAN,image,https://apod.nasa.gov/apod/image/2005/c2020_f8_2020_05_02dp_1024.jpg
2020-05-09,Full Flower Moonrise,image,https://apod.nasa.gov/apod/image/2005/FullFlowerMoonrise_Boldrini.jpg
2020-05-10,The Porpoise Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2005/PorpoiseGalaxy_HubbleFraile_960.jpg
2020-05-11,Behind Betelgeuse,image,https://apod.nasa.gov/apod/image/2005/betelgeuse_block_960.jpg
2020-05-12,Lyrid Meteors from the Constellation Lyra,image,https://apod.nasa.gov/apod/image/2005/Lyrids_Horalek_960.jpg
2020-05-13,Jupiter in Infrared from Gemini,image,https://apod.nasa.gov/apod/image/2005/JupiterIR_Gemini_960.jpg
2020-05-14,Comet Halley vs Comet SWAN,image,https://apod.nasa.gov/apod/image/2005/SWAN1_perrot.jpg
2020-05-15,Galaxy Wars: M81 and M82,image,https://apod.nasa.gov/apod/image/2005/M81-82_1024.jpg
2020-05-16,The Dark River to Antares,image,https://apod.nasa.gov/apod/image/2005/Reflections_APOD1200.jpg
2020-05-17,A Waterspout in Florida,image,https://apod.nasa.gov/apod/image/2005/waterspout_mole_960.jpg
2020-05-18,Journey into the Cosmic Reef,video,https://www.youtube.com/embed/1qO6SG1HzyI
2020-05-19,Posters of the Solar System,image,https://apod.nasa.gov/apod/image/2005/SolarSystemPosters_NASA_1080.jpg
2020-05-20,"Moon, Mars, Saturn, Jupiter, Milky Way",image,https://apod.nasa.gov/apod/image/2005/MoonPlanetsMW_Minkov_1080.jpg
2020-05-21,Phases of Venus,image,https://apod.nasa.gov/apod/image/2005/PhasesVenusAddis.jpg
2020-05-22,South of Carina,image,https://apod.nasa.gov/apod/image/2005/SouthCarina_SHO_final1024.jpg
2020-05-23,Ghost Fungus to Magellanic Cloud,image,https://apod.nasa.gov/apod/image/2005/IMG_1478-Edit1200.jpg
2020-05-24,Valles Marineris: The Grand Canyon of Mars,image,https://apod.nasa.gov/apod/image/2005/marsglobe_viking_960.jpg
2020-05-25,Mystic Mountain Monster being Destroyed,image,https://apod.nasa.gov/apod/image/2005/MysticPillar_HubbleSchmidt_960.jpg
2020-05-26,The Milky Way over Snow-Capped Himalayas,image,https://apod.nasa.gov/apod/image/2005/MwMountains_Havel_960.jpg
2020-05-27,Earth and Moon through Saturn's Rings,image,https://apod.nasa.gov/apod/image/2005/SaturnEarthMoon_Cassini_960.jpg
2020-05-28,Reflecting the International Space Station,image,https://apod.nasa.gov/apod/image/2005/ISS-Lighttrail-Reflection_invert.jpg
2020-05-29,Mercury Meets Crescent Venus,image,https://apod.nasa.gov/apod/image/2005/Venere-e-Mercurio-tra-gli-Eucalipti1024.jpg
2020-05-30,"Green Flashes: Sun, Moon, Venus, Mercury",image,https://apod.nasa.gov/apod/image/2005/GreenFlashdidacopia2.jpg
2020-05-31,Aurora over Sweden,image,https://apod.nasa.gov/apod/image/2005/AuroraSweden_Strand_960.jpg
2020-06-01,The Lively Center of the Lagoon Nebula,image,https://apod.nasa.gov/apod/image/2006/LagoonCenter_HubbleGravinese_960.jpg
2020-06-02,Novel Coronavirus Attacks Humanity,image,https://apod.nasa.gov/apod/image/2006/SarsCov2_Niaid_960.jpg
2020-06-03,The Dance of Venus and Earth,video,https://www.youtube.com/embed/Cd5a5KdPxQc?rel=0
2020-06-04,Portrait of NGC 3628,image,https://apod.nasa.gov/apod/image/2006/N3628_StefanoCancelli_PaulMortfield1024.jpg
2020-06-05,Dragon over Central Park,image,https://apod.nasa.gov/apod/image/2006/SHonda_ISS-Dragon-NY-0530_1024.jpg
2020-06-06,Comet PanSTARRs and the Galaxies,image,https://apod.nasa.gov/apod/image/2006/C2017T2_M81M82_May22_23_2020_DEBartlett1024.jpg
2020-06-07,Halo of the Cat's Eye,image,https://apod.nasa.gov/apod/image/2006/catseye2_not_960.jpg
2020-06-08,Atmospheric Ring of Venus,image,https://apod.nasa.gov/apod/image/2006/VenusFireRing_Lawrence_960.jpg
2020-06-09,Orion over Argentine Mountains,image,https://apod.nasa.gov/apod/image/2006/OrionMountains_Tabbush_960.jpg
2020-06-11,Barred Spiral Galaxy NGC 1300,image,https://apod.nasa.gov/apod/image/2006/NGC1300HST1200.jpg
2020-06-12,NGC 2359: Thor's Helmet,image,https://apod.nasa.gov/apod/image/2006/ThorsHelmet800.jpg
2020-06-13,SpaceX Demo-2 Launch,image,https://apod.nasa.gov/apod/image/2006/demo-2_crewedlaunchIR1100.jpg
2020-06-14,Happy People Dancing on Planet Earth,video,https://www.youtube.com/embed/M6-iC_aYcug?rel=0
2020-06-15,A Ring of Fire Sunrise Solar Eclipse,video,https://www.youtube.com/embed/UJfpqSj7cCs?rel=0
2020-06-16,APOD is 25 Years Old Today,video,https://www.youtube.com/embed/bhJ0MotUblo?rel=0
2020-06-17,Magnetic Streamlines of the Milky Way,image,https://apod.nasa.gov/apod/image/2006/PolarisedMilkyWay_Planck_1080.jpg
2020-06-18,The Tadpoles of IC 410,image,https://apod.nasa.gov/apod/image/2006/Tadpoles-of-IC-410-Trevor-Jones.jpg
2020-06-19,The Veins of Heaven,image,https://apod.nasa.gov/apod/image/2006/IMG_4164a_1024s.jpg
2020-06-20,Northern Summer on Titan,image,https://apod.nasa.gov/apod/image/2006/PIA21615TitanNorthSummer1024.jpg
2020-06-21,Moon Occults Venus,image,https://apod.nasa.gov/apod/image/2006/VenusSet_Kananovich_1000.jpg
2020-06-22,Moon Mountains Magnified during Ring of Fire Eclipse,image,https://apod.nasa.gov/apod/image/2006/BeadMountains_Letian_960.jpg
2020-06-23,The X-Ray Sky from eROSITA,image,https://apod.nasa.gov/apod/image/2006/SkyMapB_eROSITA_960.jpg
2020-06-24,Inverted City Beneath Clouds,image,https://apod.nasa.gov/apod/image/2006/ChicagoClouds_Hersch_960.jpg
2020-06-25,"Eclipse Street, Hong Kong",image,https://apod.nasa.gov/apod/image/2006/HongKong2020JuneEclipse_Chan1024.jpg
2020-06-26,Eclipse under the Bamboo,image,https://apod.nasa.gov/apod/image/2006/Eclipse-under-bamboos1024c.jpg
2020-06-27,Eclipse under the ISS,image,https://apod.nasa.gov/apod/image/2006/iss063e031761_June2020ase1024.jpg
2020-06-28,Europa and Jupiter from Voyager 1,image,https://apod.nasa.gov/apod/image/2006/EuropaJupiter_Voyager_960.jpg
2020-06-29,Dark Sky Reflections,image,https://apod.nasa.gov/apod/image/2006/SkyReflections_Godward_1080.jpg
2020-06-30,Bright Planetary Nebula NGC 7027 from Hubble,image,https://apod.nasa.gov/apod/image/2006/ngc7027_HubbleKastner_960.jpg
2020-07-01,Our Rotating Earth,video,https://www.youtube.com/embed/re3oEKX6Fks?rel=0
2020-07-02,"The Galaxy, the Planet, and the Apple Tree",image,https://apod.nasa.gov/apod/image/2007/Kristine-Rose-Photography-20200616_001s1024.jpg
2020-07-03,Lynds Dark Nebula 1251,image,https://apod.nasa.gov/apod/image/2007/ldn1251_jerahian1024.jpg
2020-07-04,Meeting in the Mesosphere,image,https://apod.nasa.gov/apod/image/2007/msv1000crop.jpg
2020-07-05,Saturn's Northern Hexagon,image,https://apod.nasa.gov/apod/image/2007/NorthSaturn_Cassini_960.jpg
2020-07-06,"M43: Dust, Gas, and Stars in the Orion Nebula",image,https://apod.nasa.gov/apod/image/2007/M43_HubbleGoff_960.jpg
2020-07-07,Comet NEOWISE over Lebanon,image,https://apod.nasa.gov/apod/image/2007/Neowise_Moophz_960.jpg
2020-07-08,Mercury's Sodium Tail,image,https://apod.nasa.gov/apod/image/2007/MercuryTail_Alessandrini_960.jpg
2020-07-09,Noctilucent Clouds and Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/noctilucentNeowisePaoly600h.jpg
2020-07-10,Comet NEOWISE from the ISS,image,https://apod.nasa.gov/apod/image/2007/ISS063-E-39888_APOD1050.jpg
2020-07-11,The Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/C2020_F3_NEOWISE_2020_07_10_druckmuller1024.jpg
2020-07-12,Comet CG Creates Its Dust Tail,image,https://apod.nasa.gov/apod/image/2007/Comet67P_Rosetta_960.jpg
2020-07-13,Comet NEOWISE Rising over the Adriatic Sea,video,https://www.youtube.com/embed/ts0Ek3nLHew?rel=0
2020-07-14,Comet NEOWISE over Stonehenge,image,https://apod.nasa.gov/apod/image/2007/NeowiseStonehenge_Deval_960.jpg
2020-07-15,Comet NEOWISE over the Swiss Alps,image,https://apod.nasa.gov/apod/image/2007/NeowiseAlps_salzgeber_960.jpg
2020-07-16,The Long Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/2020_07_14_NEOWISE_Suchy_Vrch_1263px.jpg
2020-07-17,NEOWISE of the North,image,https://apod.nasa.gov/apod/image/2007/DSC1028_PetersNEOWISEAuroralSpike_800.jpg
2020-07-18,Finding NEOWISE,image,https://apod.nasa.gov/apod/image/2007/NEOWISEBelowBigDipper-7-16-2020-TomMasterson1081.jpg
2020-07-19,Rotating Moon from LRO,video,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2020-07-20,Comet NEOWISE and Nebulae,image,https://apod.nasa.gov/apod/image/2007/NeowiseNebs_Oszywa_960.jpg
2020-07-21,Iron in the Butterfly Nebula,image,https://apod.nasa.gov/apod/image/2007/Butterfly_HubbleSchmidt_1080.jpg
2020-07-22,The Structured Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2007/Neowise_Lin_960.jpg
2020-07-23,Fairytale NEOWISE,image,https://apod.nasa.gov/apod/image/2007/SGUNeuschwansteinNeowiseIMG2532-1050.jpg
2020-07-24,MAGIC NEOWISE,image,https://apod.nasa.gov/apod/image/2007/DSC7590-Leutenegger1200c.jpg
2020-07-25,Tianwen-1 Mission to Mars,image,https://apod.nasa.gov/apod/image/2007/169A2911Dai1024.jpg
2020-07-26,A Flight through the Hubble Ultra Deep Field,video,https://www.youtube.com/embed/PDMp8a-YNe0?rel=0
2020-07-27,Comet and Lightning Beyond Bighorn Mountains,image,https://apod.nasa.gov/apod/image/2007/CometLightning_Palmer_960.jpg
2020-07-28,NGC 6188: The Dragons of Ara,image,https://apod.nasa.gov/apod/image/2007/N6188_Cappelletti_960.jpg
2020-07-29,The Giants of Summer,image,https://apod.nasa.gov/apod/image/2007/giantsummerAPOD.jpg
2020-07-30,The Red Planet Mars,image,https://apod.nasa.gov/apod/image/2007/Mars23Jul2020-LDB3.jpg
2020-07-31,"Mars 2020 from 5,000 Feet",image,https://apod.nasa.gov/apod/image/2007/Mars2020launchKraus1024.jpg
2020-08-01,The Elephant's Trunk Nebula in Cepheus,image,https://apod.nasa.gov/apod/image/2008/IC1396_Chad_Leader1208.jpg
2020-08-02,"Two Worlds, One Sun",image,https://apod.nasa.gov/apod/image/2008/TwoWorldsOneSun_Bouic_1080.jpg
2020-08-03,Comet NEOWISE over Vikos Gorge,image,https://apod.nasa.gov/apod/image/2008/NeowiseGorge_Emmanouilidi_960.jpg
2020-08-04,NGC 2442: Galaxy in Volans,image,https://apod.nasa.gov/apod/image/2008/NGC2442_HstGendler_960.jpg
2020-08-05,Picture Rocks Sun Dagger,video,https://www.youtube.com/embed/X_UOLpUDwpU?rel=0
2020-08-06,Messier 20 and 21,image,https://apod.nasa.gov/apod/image/2008/trifidnebulaM20M21_1024.jpg
2020-08-07,The Pipe Nebula,image,https://apod.nasa.gov/apod/image/2008/pipenebula_rc3_1024.jpg
2020-08-08,Crescent Saturn,image,https://apod.nasa.gov/apod/image/2008/CrescentSaturn_cassini_1080.jpg
2020-08-09,The Origin of Elements,image,https://apod.nasa.gov/apod/image/2008/Nucleosynthesis2_WikipediaCmglee_1080.jpg
2020-08-10,Perseids from Perseus,image,https://apod.nasa.gov/apod/image/2008/NightOfThePerseids_Horalek_960.jpg
